"Geophysical Institute Permafrost Laboratory, University of Alaska Fairbanks, www.permafrostwatch.org",,
created:," ""2023-09-29 13:02:15""",
site_name:," ""Transect 1""",
site_code:," ""M01""",
site_group:," ""FIBER""",
veg_type:," ""null""",
latitude_(?:,71.323056,
longitude_(?:,-156.614444,
elevation_(m):,      NaN,
slope_(?:,  NaN,
aspect_(?:,   NaN,
description:," """"",
contact:," ""Dr. Dmitry Nicolsky"," djnicolsky@alaska.edu"""
"NaN fields indicate invalid or missing data, negitive vertical offsets are above ground",,
,,
date/time," ""Temp [?]"""," ""Temp [?]"""
vertical_offset (m)->,0.15,1.5
2022/8/18,      NaN,      NaN
2022/8/19,1.3838,-1.9097
2022/8/20,1.3748,-1.8952
2022/8/21,1.166,-1.871
2022/8/22,1.0847,-1.8613
2022/8/23,1.3927,-1.842
2022/8/24,2.3123,-1.828
2022/8/25,3.2597,-1.814
2022/8/26,3.3352,-1.814
2022/8/27,2.8675,-1.7947
2022/8/28,2.7338,-1.785
2022/8/29,2.8182,-1.7705
2022/8/30,2.9162,-1.756
2022/8/31,2.7698,-1.756
2022/9/1,2.637,-1.727
2022/9/2,2.3645,-1.727
2022/9/3,2.6002,-1.713
2022/9/4,2.8543,-1.699
2022/9/5,2.1858,-1.699
2022/9/6,2.2033,-1.6845
2022/9/7,2.2702,-1.67
2022/9/8,2.0918,-1.6603
2022/9/9,1.8718,-1.641
2022/9/10,1.6557,-1.641
2022/9/11,1.4703,-1.641
2022/9/12,1.543,-1.6177
2022/9/13,1.4162,-1.613
2022/9/14,1.053,-1.6082
2022/9/15,0.9798,-1.5888
2022/9/16,0.8202,-1.584
2022/9/17,0.7603,-1.584
2022/9/18,0.8515,-1.57
2022/9/19,1.4697,-1.556
2022/9/20,1.3702,-1.5512
2022/9/21,1.3433,-1.5415
2022/9/22,1.0845,-1.527
2022/9/23,0.554,-1.527
2022/9/24,0.347,-1.527
2022/9/25,0.1812,-1.5222
2022/9/26,0.0603,-1.498
2022/9/27,0.0467,-1.498
2022/9/28,0.0285,-1.498
2022/9/29,0.0557,-1.4887
2022/9/30,0.0465,-1.47
2022/10/1,0.0147,-1.47
2022/10/2,-0.0087,-1.47
2022/10/3,-0.032,-1.47
2022/10/4,-0.0645,-1.47
2022/10/5,0.0237,-1.47
2022/10/6,0.0652,-1.441
2022/10/7,0.051,-1.441
2022/10/8,0.019,-1.441
2022/10/9,-0.0507,-1.441
2022/10/10,-0.088,-1.4363
2022/10/11,-0.06,-1.4177
2022/10/12,-0.0367,-1.413
2022/10/13,-0.06,-1.413
2022/10/14,-0.06,-1.413
2022/10/15,-0.088,-1.413
2022/10/16,-0.0973,-1.413
2022/10/17,-0.06,-1.413
2022/10/18,-0.06,-1.413
2022/10/19,-0.0787,-1.3985
2022/10/20,-0.0647,-1.3888
2022/10/21,-0.06,-1.384
2022/10/22,-0.06,-1.384
2022/10/23,-0.074,-1.384
2022/10/24,-0.116,-1.384
2022/10/25,-0.143,-1.384
2022/10/26,-0.1617,-1.384
2022/10/27,-0.171,-1.384
2022/10/28,-0.1757,-1.384
2022/10/29,-0.171,-1.384
2022/10/30,-0.171,-1.3793
2022/10/31,-0.199,-1.384
2022/11/1,-0.2503,-1.384
2022/11/2,-0.297,-1.3747
2022/11/3,-0.311,-1.3793
2022/11/4,-0.311,-1.356
2022/11/5,-0.3203,-1.3653
2022/11/6,-0.3623,-1.3653
2022/11/7,-0.353,-1.356
2022/11/8,-0.325,-1.356
2022/11/9,-0.3437,-1.356
2022/11/10,-0.395,-1.356
2022/11/11,-0.4697,-1.356
2022/11/12,-0.6055,-1.3607
2022/11/13,-0.6713,-1.356
2022/11/14,-0.5583,-1.356
2022/11/15,-0.507,-1.356
2022/11/16,-0.5023,-1.356
2022/11/17,-0.465,-1.356
2022/11/18,-0.409,-1.356
2022/11/19,-0.339,-1.356
2022/11/20,-0.339,-1.356
2022/11/21,-0.409,-1.356
2022/11/22,-0.4977,-1.356
2022/11/23,-0.6055,-1.356
2022/11/24,-0.69,-1.356
2022/11/25,-0.7413,-1.356
2022/11/26,-0.803,-1.356
2022/11/27,-0.864,-1.356
2022/11/28,-0.977,-1.3607
2022/11/29,-1.166,-1.356
2022/11/30,-1.2702,-1.356
2022/12/1,-1.2133,-1.3653
2022/12/2,-1.1803,-1.384
2022/12/3,-1.1187,-1.3937
2022/12/4,-1.2513,-1.413
2022/12/5,-1.3747,-1.4223
2022/12/6,-1.408,-1.4603
2022/12/7,-1.527,-1.4747
2022/12/8,-1.6365,-1.498
2022/12/9,-1.7417,-1.527
2022/12/10,-1.881,-1.5512
2022/12/11,-2.073,-1.5888
2022/12/12,-2.2808,-1.627
2022/12/13,-2.4113,-1.6555
2022/12/14,-2.581,-1.7083
2022/12/15,-2.7758,-1.756
2022/12/16,-2.8835,-1.809
2022/12/17,-3.05,-1.8758
2022/12/18,-3.3305,-1.9482
2022/12/19,-3.5728,-2.0198
2022/12/20,-3.682,-2.1117
2022/12/21,-3.7817,-2.2035
2022/12/22,-4.001,-2.3002
2022/12/23,-4.046,-2.4065
2022/12/24,-4.046,-2.508
2022/12/25,-4.0762,-2.6152
2022/12/26,-4.2825,-2.7222
2022/12/27,-4.5905,-2.8198
2022/12/28,-4.8497,-2.9323
2022/12/29,-5.0895,-3.045
2022/12/30,-5.3053,-3.1532
2022/12/31,-5.4183,-3.286
2023/1/1,-5.449,-3.4095
2023/1/2,-5.449,-3.5282
2023/1/3,-5.4542,-3.6472
2023/1/4,-5.4955,-3.762
2023/1/5,-5.5318,-3.8562
2023/1/6,-5.6567,-3.956
2023/1/7,-5.8748,-4.056
2023/1/8,-6.1625,-4.1467
2023/1/9,-6.3883,-4.247
2023/1/10,-6.531,-4.353
2023/1/11,-6.7487,-4.469
2023/1/12,-6.978,-4.5752
2023/1/13,-7.1168,-4.6868
2023/1/14,-7.187,-4.8138
2023/1/15,-7.2783,-4.9208
2023/1/16,-7.4563,-5.0333
2023/1/17,-7.7928,-5.141
2023/1/18,-7.9948,-5.2537
2023/1/19,-8.066,-5.3672
2023/1/20,-8.066,-5.4903
2023/1/21,-8.0825,-5.5945
2023/1/22,-8.0935,-5.7083
2023/1/23,-8.099,-5.7967
2023/1/24,-8.165,-5.9007
2023/1/25,-8.2642,-5.979
2023/1/26,-8.4468,-6.0627
2023/1/27,-8.6467,-6.152
2023/1/28,-8.825,-6.2412
2023/1/29,-8.9765,-6.3357
